date,ticker,quarter,year,file
27-Jan,LSTR,Q4,2021,LSTR Q4 2021.mp3
26-Jan,LVS,Q4,2021,LVS Q4 2021.mp3
28-Jan,LYB,Q4,2021,LYB Q4 2021.mp3
27-Jan,MA,Q4,2021,MA Q4 2021.mp3
18-Jan,MBWM,Q4,2021,MBWM Q4 2021.mp3
27-Jan,MDLZ,Q4,2021,MDLZ Q4 2021.mp3
27-Jan,MEOH,Q4,2021,MEOH Q4 2021.mp3
27-Jan,MKC,Q4,2021,MKC Q4 2021.mp3
27-Jan,MKSI,Q4,2021,MKSI Q4 2021.mp3
27-Jan,MMC,Q4,2021,MMC Q4 2021.mp3
25-Jan,MMM,Q4,2021,MMM Q4 2021.mp3
27-Jan,MO,Q4,2021,MO Q4 2021.mp3
26-Jan,MPX,Q4,2021,MPX Q4 2021.mp3
28-Jan,MSBI,Q4,2021,MSBI Q4 2021.mp3
27-Jan,MSCI,Q4,2021,MSCI Q4 2021.mp3
20-Jan,MTB,Q4,2021,MTB Q4 2021.mp3
27-Jan,MUR,Q4,2021,MUR Q4 2021.mp3
26-Jan,NAVI,Q4,2021,NAVI Q4 2021.mp3
27-Jan,NBTB,Q4,2021,NBTB Q4 2021.mp3
26-Jan,NDAQ,Q4,2021,NDAQ Q4 2021.mp3
26-Jan,NOW,Q4,2021,NOW Q4 2021.mp3
12-Jan,NPCE,Q4,2021,NPCE Q4 2021.mp3
20-Jan,NTRS,Q4,2021,NTRS Q4 2021.mp3
27-Jan,OBNK,Q4,2021,OBNK Q4 2021.mp3
28-Jan,OCFC,Q4,2021,OCFC Q4 2021.mp3
19-Jan,OFG,Q4,2021,OFG Q4 2021.mp3
12-Jan,OLK,Q4,2021,OLK Q4 2021.mp3
28-Jan,OLN,Q4,2021,OLN Q4 2021.mp3
27-Jan,ORI,Q4,2021,ORI Q4 2021.mp3
31-Jan,OTIS,Q4,2021,OTIS Q4 2021.mp3
21-Jan,OZK,Q4,2021,OZK Q4 2021.mp3
26-Jan,PB,Q4,2021,PB Q4 2021.mp3
26-Jan,PFC,Q4,2021,PFC Q4 2021.mp3
28-Jan,PFS,Q4,2021,PFS Q4 2021.mp3
1/11/2022,PI,Q4,2021,PI Q4 2021.mp3
27-Jan,PKG,Q4,2021,PKG Q4 2021.mp3
19-Jan,PLD,Q4,2021,PLD Q4 2021.mp3
18-Jan,PRGS,Q4,2021,PRGS Q4 2021.mp3
28-Jan,PSX,Q4,2021,PSX Q4 2021.mp3
26-Jan,QCRH,Q4,2021,QCRH Q4 2021.mp3
26-Jan,RES,Q4,2021,RES Q4 2021.mp3
20-Jan,RF,Q4,2021,RF Q4 2021.mp3
27-Jan,RLI,Q4,2021,RLI Q4 2021.mp3
26-Jan,RNR,Q4,2021,RNR Q4 2021.mp3
26-Jan,RNST,Q4,2021,RNST Q4 2021.mp3
26-Jan,ROL,Q4,2021,ROL Q4 2021.mp3
28-Jan,SBFG,Q4,2021,SBFG Q4 2021.mp3
28-Jan,SBSI,Q4,2021,SBSI Q4 2021.mp3
26-Jan,SEIC,Q4,2021,SEIC Q4 2021.mp3
27-Jan,SHW,Q4,2021,SHW Q4 2021.mp3
